104,sdtx0000001,09/20/2020-18:43:23,463,43
105,sdtx0000001,09/20/2020-18:43:42,476,44
106,sdtx0000001,09/20/2020-18:43:55,477,45
107,sdtx0000001,09/20/2020-18:44:01,475,45
108,sdtx0000001,09/20/2020-18:44:18,472,44
109,sdtx0000001,09/20/2020-18:44:22,473,45
110,sdtx0000001,09/20/2020-18:44:35,475,44
111,sdtx0000001,09/20/2020-18:44:43,475,45
112,sdtx0000001,09/20/2020-18:44:52,475,45
113,sdtx0000001,09/20/2020-18:45:01,475,45
114,sdtx0000001,09/20/2020-18:45:13,475,44
115,sdtx0000001,09/20/2020-18:45:22,475,44
116,sdtx0000001,09/20/2020-18:45:35,474,44
117,sdtx0000001,09/20/2020-18:45:41,475,43
118,sdtx0000001,09/20/2020-18:45:54,475,44
119,sdtx0000001,09/20/2020-18:46:01,473,43
120,sdtx0000001,09/20/2020-18:46:23,475,44
121,sdtx0000001,09/20/2020-18:46:34,475,44
122,sdtx0000001,09/20/2020-18:46:46,473,45
123,sdtx0000001,09/20/2020-18:46:58,476,45
124,sdtx0000001,09/20/2020-18:47:01,477,45
125,sdtx0000001,09/20/2020-18:47:10,478,44
126,sdtx0000001,09/20/2020-18:47:22,475,44
127,sdtx0000001,09/20/2020-18:47:34,473,43
128,sdtx0000001,09/20/2020-18:47:40,475,44
129,sdtx0000001,09/20/2020-18:47:50,475,45
130,sdtx0000001,09/20/2020-18:48:04,474,45
131,sdtx0000001,09/20/2020-18:48:22,456,43
132,sdtx0000001,09/20/2020-18:48:34,475,45
133,sdtx0000001,09/20/2020-18:48:47,474,45
134,sdtx0000001,09/20/2020-18:48:53,475,45
135,sdtx0000001,09/20/2020-18:49:02,463,45
136,sdtx0000001,09/20/2020-18:49:11,474,44
137,sdtx0000001,09/20/2020-18:49:24,474,43
138,sdtx0000001,09/20/2020-18:49:39,474,41
139,sdtx0000001,09/20/2020-18:49:41,475,44
140,sdtx0000001,09/20/2020-18:50:00,471,44
141,sdtx0000001,09/20/2020-18:50:17,475,45
142,sdtx0000001,09/20/2020-18:50:26,452,44
143,sdtx0000001,09/20/2020-18:50:32,475,42
144,sdtx0000001,09/20/2020-18:50:41,475,45
145,sdtx0000001,09/20/2020-18:50:56,475,44
146,sdtx0000001,09/20/2020-18:51:02,475,44
147,sdtx0000001,09/20/2020-18:51:11,476,45
148,sdtx0000001,09/20/2020-18:51:26,475,45
149,sdtx0000001,09/20/2020-18:51:38,476,44
150,sdtx0000001,09/20/2020-18:51:41,475,44
151,sdtx0000001,09/20/2020-18:51:50,473,45
152,sdtx0000001,09/20/2020-18:52:02,475,41
153,sdtx0000001,09/20/2020-18:52:23,474,44
154,sdtx0000001,09/20/2020-18:52:32,473,42
155,sdtx0000001,09/20/2020-18:52:41,475,44
156,sdtx0000001,09/20/2020-18:52:50,475,44
157,sdtx0000001,09/20/2020-18:53:02,475,45
158,sdtx0000001,09/20/2020-18:53:14,475,44
159,sdtx0000001,09/20/2020-18:53:26,473,44
160,sdtx0000001,09/20/2020-18:53:35,455,44
161,sdtx0000001,09/20/2020-18:53:44,473,44
162,sdtx0000001,09/20/2020-18:53:54,476,43
163,sdtx0000001,09/20/2020-18:54:02,475,43
164,sdtx0000001,09/20/2020-18:54:11,475,44
165,sdtx0000001,09/20/2020-18:54:20,457,43
